Result_Sem,Result_Grade,Student_ID,Module_Code
1,A,220001,BDS12012
1,B-,220001, BDS12023
1,C+,220001,BDS11013
1,A-,220001,BAI12023
1,B+,220001,BAI12043
2,C+,220001,BUS11033
2,B+,220001,BAI11013
2,A+,220001,BAI11023
2,A-,220001,BAI11033
2,B-,220001,BAI11043
3,A,220001,MPU3143
3,C,220001,BAI21033
3,B-,220001,BDS21013
3,B,220001,MPU3223
3,B+,220001,BAI21043
4,,220001,MPU3412
4,,220001,BAI13013
4,,220001,BAI12013
4,,220001,BAI13033
4,,220001,BAI13023
5,,220001,BDS23013
5,,220001,BAI23023
5,,220001,BAI31033
5,,220001,BDS23023
6,,220001,MPU8988
6,,220001,MPU3313
6,,220001,BAI23033
6,,220001,ADE 22014
6,,220001,BDS21023
7,,220001,BDS31013
7,,220001,BAI32022
7,,220001,BDS32023
7,,220001,BDS32034
7,,220001,BIT32042
8,,220001,BDS32013
8,,220001,BAI13053
8,,220001,BDS31024
8,,220001,BBA32144
9,,220001,BDS33016
1,A+,220002,BDS12012
1,A-,220002, BDS12023
1,B-,220002,BDS11013
1,A,220002,BAI12023
1,C,220002,BAI12043
2,B-,220002,BUS11033
2,B,220002,BAI11013
2,,220002,BAI11023
2,,220002,BAI11033
2,,220002,BAI11043
3,,220002,MPU3143
3,,220002,BAI21033
3,,220002,BDS21013
3,,220002,MPU3223
3,,220002,BAI21043
4,,220002,MPU3412
4,,220002,BAI13013
4,,220002,BAI12013
4,,220002,BAI13033
4,,220002,BAI13023
5,,220002,BDS23013
5,,220002,BAI23023
5,,220002,BAI31033
5,,220002,BDS23023
6,,220002,MPU8988
6,,220002,MPU3313
6,,220002,BAI23033
6,,220002,ADE 22014
6,,220002,BDS21023
7,,220002,BDS31013
7,,220002,BAI32022
7,,220002,BDS32023
7,,220002,BDS32034
7,,220002,BIT32042
8,,220002,BDS32013
8,,220002,BAI13053
8,,220002,BDS31024
8,,220002,BBA32144
9,,220002,BDS33016
1,B+,220003,BDS12012
1,A,220003, BDS12023
1,B-,220003,BDS11013
1,C+,220003,BAI12023
1,A-,220003,BAI12043
2,B+,220003,BUS11033
2,A+,220003,BAI11013
2,B+,220003,BAI11023
2,A-,220003,BAI11033
2,B-,220003,BAI11043
3,A,220003,MPU3143
3,A,220003,BAI21033
3,B-,220003,BDS21013
3,A+,220003,MPU3223
3,B+,220003,BAI21043
4,,220003,MPU3412
4,,220003,BAI13013
4,,220003,BAI12013
4,,220003,BAI13033
4,,220003,BAI13023
5,,220003,BDS23013
5,,220003,BAI23023
5,,220003,BAI31033
5,,220003,BDS23023
6,,220003,MPU8988
6,,220003,MPU3313
6,,220003,BAI23033
6,,220003,ADE 22014
6,,220003,BDS21023
7,,220003,BDS31013
7,,220003,BAI32022
7,,220003,BDS32023
7,,220003,BDS32034
7,,220003,BIT32042
8,,220003,BDS32013
8,,220003,BAI13053
8,,220003,BDS31024
8,,220003,BBA32144
9,,220003,BDS33016
